"customer_id","country","gender","spent","device","checkout_system","purchases"
51663,"MEX","F",967.78,"computer","new",5
57870,"USA","M",2633.68,"computer","new",2
2986,"USA","F",3917.25,"computer","old",6
29925,"USA","F",3174.38,"computer","old",3
95246,"ESP","M",223.84,"mobile","new",3
68293,"USA","M",211.39,"computer","new",4
62555,"GBR","F",493.54,"mobile","new",4
45404,"TUR","M",1467.5,"computer","new",7
65161,"USA","M",3367.7,"computer","old",2
46435,"DEU","F",3096.67,"computer","new",2
9642,"USA","F",497.83,"mobile","old",3
59134,"TUR","M",3833.75,"mobile","new",10
52132,"BRA","M",2511.13,"mobile","new",8
96849,"MEX","M",1101.89,"mobile","old",3
14183,"DEU","F",1577.78,"mobile","old",2
15180,"BRA","M",2199.34,"mobile","new",1
27168,"DEU","M",1949.07,"mobile","new",4
9097,"MEX","F",1815.07,"mobile","old",2
30538,"USA","M",1396.54,"computer","new",5
56219,"FRA","F",1606.63,"mobile","new",5
94517,"USA","F",2317.19,"mobile","new",5
7989,"FRA","F",2527.83,"computer","new",4
13536,"AUS","F",3.54,"mobile","new",6
90077,"DEU","M",1343.48,"mobile","old",7
6216,"DEU","M",2441.31,"computer","new",3
83519,"DEU","F",714.63,"computer","new",3
29394,"CAN","F",2565.67,"computer","old",4
53241,"DEU","F",1468.75,"computer","old",5
28825,"CAN","F",768.82,"computer","new",4
41,"USA","F",3224.06,"computer","new",3
14426,"BRA","M",1906.25,"computer","new",3
72820,"DEU","F",3938.54,"mobile","old",7
51656,"MEX","F",2242.35,"computer","old",7
94038,"USA","F",1473.36,"computer","new",8
77009,"BRA","M",92.7,"computer","new",6
43042,"BRA","M",2048.57,"mobile","new",2
77837,"BRA","M",2865.8,"computer","old",5
33523,"ESP","M",570.08,"mobile","old",2
21812,"USA","F",2273.14,"mobile","new",3
39895,"TUR","M",1208.21,"computer","old",10
9640,"GBR","F",256.14,"computer","new",1
85278,"BRA","M",911.9,"mobile","new",5
9326,"ESP","M",2503.73,"mobile","old",1
26510,"DEU","M",2543.6,"mobile","old",1
20960,"ESP","F",405.41,"mobile","old",1
14403,"FRA","F",1987.28,"mobile","old",3
64502,"USA","M",2789.18,"mobile","old",7
71503,"TUR","F",4031.95,"computer","old",3
45221,"FRA","F",236.15,"computer","old",3
94335,"USA","F",1970.51,"mobile","new",7
92372,"USA","F",528.46,"computer","old",7
77585,"CAN","M",1919.83,"mobile","old",3
80686,"BRA","F",1831.84,"computer","new",3
70563,"USA","F",2390.64,"mobile","old",2
32606,"USA","M",583.54,"mobile","old",1
16152,"USA","M",3023.76,"computer","new",6
25559,"FRA","M",1369.61,"mobile","new",5
14215,"BRA","F",2425.95,"mobile","new",4
14287,"BRA","F",1439.05,"mobile","old",6
90094,"BRA","M",714.64,"computer","new",3
34976,"TUR","M",3709.85,"mobile","old",6
14491,"USA","M",1829.67,"computer","new",3
82949,"USA","F",836.67,"computer","new",6
77584,"MEX","M",682,"computer","new",2
40503,"BRA","F",1358.34,"computer","old",2
34724,"GBR","F",1411.77,"mobile","old",9
86013,"MEX","F",152.7,"mobile","old",1
17369,"BRA","M",2549.8,"computer","old",2
31542,"USA","M",3125.89,"mobile","old",1
86605,"AUS","M",2831.79,"mobile","old",1
40632,"BRA","F",509.98,"computer","old",5
96111,"USA","F",1924.62,"mobile","old",10
43204,"CAN","M",480.3,"mobile","old",7
37544,"BRA","M",820.97,"mobile","new",3
99289,"BRA","F",2208.03,"computer","old",2
84427,"GBR","F",1817.44,"computer","old",4
76820,"MEX","M",3576.24,"computer","old",2
82115,"TUR","F",427.83,"mobile","new",3
44196,"DEU","M",178.39,"computer","new",3
92337,"DEU","M",2791.26,"computer","old",2
44983,"BRA","F",30.57,"mobile","new",4
91438,"BRA","F",685.25,"mobile","old",1
36717,"MEX","M",2174.53,"mobile","old",4
28078,"BRA","M",749.78,"computer","new",3
69369,"USA","M",2049.38,"mobile","old",2
91564,"BRA","M",2989.05,"mobile","new",1
43406,"BRA","F",2620.28,"computer","new",4
41488,"MEX","F",590.42,"mobile","old",5
47485,"USA","F",851.95,"computer","old",4
63528,"USA","M",1667.61,"mobile","old",3
14536,"GBR","F",4730.11,"computer","new",4
83069,"USA","M",3478.89,"mobile","old",1
51465,"BRA","M",941.54,"mobile","new",5
